Suburb,Type,Price,Result,Seller,Date,Bedroom,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Latitude,Longtitude,RegionName
Abbotsford,House,1035000,Sold,Biggin,4/02/2016,2,1,0,156,1900,Yarra City Council,-37.8079,144.9934,NORTHERN METROPOLITAN
Abbotsford,House,1876000,Sold,Nelson,7/05/2016,4,2,0,245,1910,Yarra City Council,-37.8024,144.9993,NORTHERN METROPOLITAN
Abbotsford,House,1012500,Sold,Nelson,28/05/2016,2,1,0,182,1900,Yarra City Council,-37.8021,144.9976,NORTHERN METROPOLITAN
Abbotsford,House,1600000,Passed In,Nelson,4/06/2016,3,1,2,120,2014,Yarra City Council,-37.8072,144.9941,NORTHERN METROPOLITAN
Abbotsford,House,1100000,Passed In,Biggin,18/06/2016,2,2,1,124,2013,Yarra City Council,-37.8079,144.9977,NORTHERN METROPOLITAN
Abbotsford,House,1200000,Sold,Jellis,16/07/2016,3,2,1,113,1880,Yarra City Council,-37.8056,144.993,NORTHERN METROPOLITAN
Abbotsford,House,1176500,Sold,LITTLE,16/07/2016,2,1,1,138,1890,Yarra City Council,-37.8021,144.9965,NORTHERN METROPOLITAN
Abbotsford,House,1030000,Sold,Biggin,30/07/2016,2,1,1,172,1930,Yarra City Council,-37.8086,144.9946,NORTHERN METROPOLITAN
Abbotsford,House,1447500,Passed In,Nelson,22/08/2016,3,3,1,166,2012,Yarra City Council,-37.8017,145.0001,NORTHERN METROPOLITAN
Abbotsford,House,1135000,Sold,Nelson,22/08/2016,2,2,2,98,1920,Yarra City Council,-37.8005,144.9952,NORTHERN METROPOLITAN
Abbotsford,House,890000,Sold,Biggin,17/09/2016,2,1,1,150,1985,Yarra City Council,-37.8011,145.0004,NORTHERN METROPOLITAN
Abbotsford,House,1636000,Sold,Nelson,8/10/2016,2,1,2,256,1890,Yarra City Council,-37.806,144.9954,NORTHERN METROPOLITAN
Abbotsford,House,1097000,Sold,Biggin,8/10/2016,3,1,2,220,1900,Yarra City Council,-37.801,144.9989,NORTHERN METROPOLITAN
Abbotsford,House,1310000,Sold,Jellis,15/10/2016,2,1,2,238,1890,Yarra City Council,-37.809,144.9976,NORTHERN METROPOLITAN
Abbotsford,House,1350000,Passed In,Nelson,12/11/2016,3,2,2,214,2005,Yarra City Council,-37.8085,144.9964,NORTHERN METROPOLITAN
Abbotsford,House,1315000,Sold,Marshall,19/11/2016,2,1,0,147,1900,Yarra City Council,-37.808,144.994,NORTHERN METROPOLITAN
Abbotsford,House,1180000,Sold,Jellis,27/11/2016,2,1,0,162,1900,Yarra City Council,-37.8016,144.9956,NORTHERN METROPOLITAN
Abbotsford,House,1195000,Sold Prior,Jellis,27/11/2016,3,2,1,120,1998,Yarra City Council,-37.8022,144.9954,NORTHERN METROPOLITAN
Abbotsford,House,1290000,Sold,Biggin,25/02/2017,3,1,1,168,1950,Yarra City Council,-37.8007,144.9958,NORTHERN METROPOLITAN
Abbotsford,House,1465000,Sold Prior,Biggin,4/03/2017,3,2,0,134,1900,Yarra City Council,-37.8093,144.9944,NORTHERN METROPOLITAN
Abbotsford,House,1330000,Passed In,Kay,18/03/2017,4,2,2,780,1900,Yarra City Council,-37.8073,144.9952,NORTHERN METROPOLITAN
Abbotsford,House,1000000,Sold Prior,Biggin,8/04/2017,3,1,0,198,1900,Yarra City Council,-37.8025,144.9939,NORTHERN METROPOLITAN
Abbotsford,House,1050000,Sold,Jellis,29/04/2017,2,1,0,129,1890,Yarra City Council,-37.8099,145.0027,NORTHERN METROPOLITAN
Abbotsford,House,1242000,Sold,Nelson,29/04/2017,2,1,1,249,1940,Yarra City Council,-37.8052,144.9963,NORTHERN METROPOLITAN
