Name,Class,Joined,Job,TicketCost,Age,Gender,Survived,Department
"ALLEN, Miss Elisabeth Walton",1st Class Passenger,Southampton,,214.0375,29,Female,TRUE,
"ALLISON, Mr Hudson Joshua Creighton",1st Class Passenger,Southampton,Businessman,151.8,30,Male,FALSE,
"ALLISON, Mrs Bessie Waldo",1st Class Passenger,Southampton,,151.8,25,Female,FALSE,
"ALLISON, Miss Helen Loraine",1st Class Passenger,Southampton,,151.8,2,Female,FALSE,
"ALLISON, Master Hudson Trevor",1st Class Passenger,Southampton,,151.8,0.916666667,Male,TRUE,
"ANDERSON, Mr Harry",1st Class Passenger,Southampton,Stockbroker,26.55,47,Male,TRUE,
"ANDREWS, Miss Kornelia Theodosia",1st Class Passenger,Cherbourg,,77.95833333,62,Female,TRUE,
"ANDREWS, Mr Thomas",1st Class Passenger,Belfast,Shipbuilder,0,39,Male,FALSE,H&W Guarantee Group
"APPLETON, Mrs Charlotte",1st Class Passenger,Southampton,,51.47916667,53,Female,TRUE,
"ARTAGAVEYTIA, Mr Ramon",1st Class Passenger,Cherbourg,Businessman,49.50416667,71,Male,FALSE,
"ASTOR, Colonel John Jacob",1st Class Passenger,Cherbourg,Property Developer / Real Estate,247.525,47,Male,FALSE,
"ASTOR, Mrs Madeleine Talmage",1st Class Passenger,Cherbourg,,247.525,18,Female,TRUE,
"AUBART, Mme. Lýontine Pauline",1st Class Passenger,Cherbourg,Singer,69.3,24,Male,TRUE,
"ýSTBY, Miss Helen Ragnhild",1st Class Passenger,Southampton,,61.97916667,22,Female,TRUE,
"BARBER, Miss Ellen Mary",1st Class Passenger,Southampton,Personal Maid,78.85,26,Female,TRUE,Servant
"BARKWORTH, Mr Algernon Henry",1st Class Passenger,Southampton,Justice of the Peace,30,47,Male,TRUE,
"BASSANI, Mrs Albina",1st Class Passenger,Cherbourg,Personal Maid,76.29166667,32,Female,TRUE,Servant
"BAUMANN, Mr John D.",1st Class Passenger,Cherbourg,Businessman,25.925,60,Male,FALSE,
"BAXTER, Mrs Hýlýne",1st Class Passenger,Cherbourg,,247.5208333,50,Female,TRUE,
"BAXTER, Mr Quigg Edmond",1st Class Passenger,Cherbourg,,247.5208333,24,Male,FALSE,
"BEATTIE, Mr Thomson",1st Class Passenger,Southampton,Landowner,75.24166667,36,Male,FALSE,
"BECKWITH, Mr Richard Leonard",1st Class Passenger,Southampton,,52.55416667,37,Male,TRUE,
"BECKWITH, Mrs Sallie",1st Class Passenger,Southampton,,52.55416667,46,Female,TRUE,
"BEHR, Mr Karl Howell",1st Class Passenger,Cherbourg,,30,26,Male,TRUE,
"BESSETTE, Miss Nellie Mayo",1st Class Passenger,Cherbourg,Personal Maid,63.35833333,39,Female,TRUE,Servant
"BIDOIS, Miss Rosalie",1st Class Passenger,Cherbourg,Personal Maid,247.525,46,Female,TRUE,Servant
"BIRD, Miss Ellen",1st Class Passenger,Southampton,Personal Maid,221.7791667,31,Female,TRUE,Servant
"BIRNBAUM, Mr Jakob",1st Class Passenger,Cherbourg,,26,24,Male,FALSE,
"BISHOP, Mr Dickinson H.",1st Class Passenger,Cherbourg,,91.07916667,25,Male,TRUE,
"BISHOP, Mrs Helen",1st Class Passenger,Cherbourg,,91.07916667,19,Female,TRUE,
"BJýRNSTRýM-STEFFANSSON, Mr Mauritz Hokan",1st Class Passenger,Southampton,Businessman,26.55,28,Male,TRUE,
"BLACKWELL, Mr Stephen Weart",1st Class Passenger,Southampton,,35.5,45,Male,FALSE,
"BLANK, Mr Henry",1st Class Passenger,Cherbourg,Jeweller,31,39,Male,TRUE,
"BONNELL, Miss Caroline",1st Class Passenger,Southampton,,164.8666667,30,Female,TRUE,
"BONNELL, Miss Elizabeth",1st Class Passenger,Southampton,,26.55,61,Female,TRUE,
"BOREBANK, Mr John James",1st Class Passenger,Southampton,Property Developer / Real Estate,26.55,42,Male,FALSE,
"BOWEN, Miss Grace Scott",1st Class Passenger,Cherbourg,Governess,262.375,45,Female,TRUE,Servant
"BOWERMAN, Miss Elsie Edith",1st Class Passenger,Southampton,,55,22,Female,TRUE,
"BRADY, Mr John Bertram",1st Class Passenger,Southampton,,30.5,41,Male,FALSE,
"BRANDEIS, Mr Emil",1st Class Passenger,Cherbourg,,50.49583333,48,Male,FALSE,
"BRERETON, Mr George Andrew",1st Class Passenger,Southampton,,26.55,37,Male,TRUE,
"BREWE, Dr Arthur Jackson",1st Class Passenger,Cherbourg,,39.6,45,Male,FALSE,
"BROWN, Mrs Caroline Lane",1st Class Passenger,Southampton,,51.47916667,59,Female,TRUE,
"BROWN, Mrs Margaret",1st Class Passenger,Cherbourg,,27.72083333,44,Female,TRUE,
"BUCKNELL, Mrs Emma Eliza",1st Class Passenger,Cherbourg,,76.29166667,58,Female,TRUE,
"BURNS, Miss Elizabeth Margaret",1st Class Passenger,Cherbourg,Nursemaid,134.5,41,Female,TRUE,Servant
"BUTT, Major Archibald Willingham",1st Class Passenger,Southampton,Military,26.55,46,Male,FALSE,
"CAIRNS, Mr Alexander Milne",1st Class Passenger,Southampton,Servant,31,28,Male,FALSE,Servant
"CALDERHEAD, Mr Edward Pennington",1st Class Passenger,Southampton,,26.2875,42,Male,TRUE,
"CANDEE, Mrs Helen Churchill",1st Class Passenger,Cherbourg,,27.44583333,52,Female,TRUE,
"CARDEZA, Mrs Charlotte Wardle",1st Class Passenger,Cherbourg,,512.3291667,58,Female,TRUE,
"CARDEZA, Mr Thomas Drake Martinez",1st Class Passenger,Cherbourg,Gentleman,512.3291667,36,Male,TRUE,
"CARLSSON, Mr Frans Olof",1st Class Passenger,Southampton,,5,33,Male,FALSE,
"CARRAý-ESTEVES, Mr Josý Pedro",1st Class Passenger,Southampton,,47.1,17,Male,FALSE,
"CARRAU, Mr Francisco Mauro Severiano",1st Class Passenger,Southampton,,47.1,27,Male,FALSE,
"CARTER, Mr William Ernest",1st Class Passenger,Southampton,,120,36,Male,TRUE,
"CARTER, Mrs Lucile",1st Class Passenger,Southampton,,120,36,Female,TRUE,
"CARTER, Miss Lucile Polk",1st Class Passenger,Southampton,,120,13,Female,TRUE,
"CARTER, Master William Thornton II",1st Class Passenger,Southampton,,120,11,Male,TRUE,
"CASE, Mr Howard Brown",1st Class Passenger,Southampton,,26,49,Male,FALSE,
"CASSEBEER, Mrs Eleanor Genevieve",1st Class Passenger,Cherbourg,,27.72083333,36,Female,TRUE,
"CAVENDISH, Mr Tyrell William",1st Class Passenger,Southampton,,78.85,36,Male,FALSE,
