TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction
33.93073,1,Training,0,Shelves,Shelves,Foot Interaction,Right Foot Press
38.23069,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.27513,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.30846,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.3418,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.37513,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.40846,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.4418,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.47513,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.50846,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.54179,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.58624,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.61957,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.6529,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.68624,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.71957,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.7529,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.78624,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.81957,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.8529,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.88623,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.91957,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.9529,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
38.98623,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.01957,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.0529,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.08623,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.11956,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.1529,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.18623,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.21956,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.2529,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.28623,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.31956,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.34179,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.37512,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.40845,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.44178,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.47512,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.50845,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.54178,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.57512,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.59734,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.63067,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.66401,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.69734,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.73067,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.764,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
39.79734,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
46.27504,1,Training,0,Shelves,Shelves,Foot Interaction,Right Foot Press
48.24168,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.28613,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.31946,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.35279,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.38613,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.41946,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.45279,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.47502,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.50835,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.54168,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.57502,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.60835,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.64168,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.67501,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
48.70835,1,Training,0,Shelves,Shelves,Hand Interaction,Vis4 Grabbed
