TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,WaistPosition.x,WaistPosition.y,WaistPosition.z,WaistEulerAngles.x,WaistEulerAngles.y,WaistEulerAngles.z,LeftShoePosition.x,LeftShoePosition.y,LeftShoePosition.z,LeftShoeEulerAngles.x,LeftShoeEulerAngles.y,LeftShoeEulerAngles.z,RightShoePosition.x,RightShoePosition.y,RightShoePosition.z,RightShoeEulerAngles.x,RightShoeEulerAngles.y,RightShoeEulerAngles.z,LeftGripPressed,LeftTriggerPressed,LeftFootSliding,LeftFootPressed,RightGripPressed,RightTriggerPressed,RightFootSliding,RightFootPressed
0.02,1,Training,2,Body,Shelves,-0.1955114,0.8798669,-0.5616164,358.0111,182.0294,3.422359,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.3533259,1,Training,2,Body,Shelves,-0.1955114,0.8798669,-0.5616164,358.0111,182.0294,3.422359,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.4866563,1,Training,2,Body,Shelves,-0.1709664,0.842521,-0.5845476,21.23716,160.87,354.4544,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.6199867,1,Training,2,Body,Shelves,-0.1957968,0.8412348,-0.5885503,19.18222,162.6072,338.3737,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.6866519,1,Training,2,Body,Shelves,-0.2004423,0.8420333,-0.5881849,18.07661,163.4812,336.1832,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.7422062,1,Training,2,Body,Shelves,-0.2019746,0.8427992,-0.587797,17.4611,163.8748,335.6456,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.7866496,1,Training,2,Body,Shelves,-0.2025959,0.8440992,-0.5871869,16.73468,164.2059,335.7526,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.842204,1,Training,2,Body,Shelves,-0.2027451,0.8458515,-0.586364,15.85034,164.5049,336.212,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.8755366,1,Training,2,Body,Shelves,-0.2014352,0.8478442,-0.5854501,14.972,164.3411,337.1719,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.91998,1,Training,2,Body,Shelves,-0.2005607,0.8482821,-0.5852599,14.88264,164.2361,337.7278,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
0.9644235,1,Training,2,Body,Shelves,-0.2001737,0.8494157,-0.5846901,14.4286,164.4914,338.4648,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.008867,1,Training,2,Body,Shelves,-0.1994076,0.8506644,-0.5840487,13.90387,164.539,339.2245,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.042199,1,Training,2,Body,Shelves,-0.1991355,0.8523809,-0.5831155,12.9858,164.5459,339.6241,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.086643,1,Training,2,Body,Shelves,-0.1984721,0.8538993,-0.5822617,12.22994,164.4825,340.2058,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.131086,1,Training,2,Body,Shelves,-0.1980198,0.8562418,-0.580873,11.02577,164.6578,341.0346,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.17553,1,Training,2,Body,Shelves,-0.1972727,0.8576853,-0.579977,10.30083,164.5713,341.653,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.219973,1,Training,2,Body,Shelves,-0.1966865,0.8607612,-0.5779606,8.600046,164.5935,342.5087,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.253306,1,Training,2,Body,Shelves,-0.195929,0.8608656,-0.5778802,8.607084,164.3539,342.7884,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.297749,1,Training,2,Body,Shelves,-0.1946049,0.8620309,-0.577045,8.084224,164.1275,343.6447,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.342193,1,Training,2,Body,Shelves,-0.1945831,0.862096,-0.5769984,8.132205,164.4178,344.0098,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.386636,1,Training,2,Body,Shelves,-0.1942993,0.8621906,-0.5769228,8.272457,164.958,344.8601,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.419969,1,Training,2,Body,Shelves,-0.1955696,0.8611102,-0.5777065,8.982186,165.9605,344.979,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.464412,1,Training,2,Body,Shelves,-0.1966188,0.8595384,-0.5787777,10.07133,167.1655,345.4672,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.508856,1,Training,2,Body,Shelves,-0.1963422,0.8570248,-0.5803841,11.75265,167.7632,346.1276,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.553299,1,Training,2,Body,Shelves,-0.1930786,0.8543699,-0.5818902,13.56781,166.9792,347.2712,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.597743,1,Training,2,Body,Shelves,-0.1857899,0.8529196,-0.5821214,14.61488,163.7256,348.3759,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.642186,1,Training,2,Body,Shelves,-0.177627,0.8514127,-0.5816439,15.54014,159.3008,348.6353,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.68663,1,Training,2,Body,Shelves,-0.1676295,0.849401,-0.5801705,16.80546,154.1505,349.2905,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.719962,1,Training,2,Body,Shelves,-0.1603379,0.8489947,-0.5778083,17.07776,150.0134,349.5604,-0.078,0,0.348,0,90,0,-0.078,0,0.348,0,90,0,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
