TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction,Details
24.13084,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.53084,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.57528,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.61973,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.66417,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.70861,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.75306,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.7975,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.84195,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.87528,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.90861,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.94194,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.96417,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
24.9975,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.01972,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.05305,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.07528,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.10861,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.14194,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.17528,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.20861,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.24194,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.27527,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.2975,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.33083,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.36416,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.38638,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.41972,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.45305,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.47527,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.50861,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.54194,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.56416,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.59749,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.63083,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.65305,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.68638,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.71971,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.75305,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.78638,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.8086,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.84193,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.87527,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.89749,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.93082,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.96416,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
25.98638,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.01971,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.05304,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.07527,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.1086,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.14193,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.16415,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.19749,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.23082,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.25304,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.28638,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.31971,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.34193,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.37526,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.39748,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.43082,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.46415,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.48637,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.5197,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.55304,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.57526,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.60859,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.63082,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.66415,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.69748,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.73081,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.76415,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.80859,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.85303,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
26.89748,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
27.2197,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.26414,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.30859,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.35303,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.39747,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.44192,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.48636,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.53081,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.57525,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.61969,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.66414,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.70858,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.75303,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.79747,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.84191,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.88636,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.94191,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
27.98635,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.0308,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.08636,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.1308,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.17524,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.21969,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.27524,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.31968,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.36413,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.40857,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.46413,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.50857,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.55302,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.60857,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.65302,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.70857,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.75301,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.79746,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.8419,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.89746,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.9419,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
28.99746,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.0419,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.09745,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.15301,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.19745,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.2419,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.29745,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.3419,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.40856,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.45301,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.49745,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.54189,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.58634,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.64189,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.68634,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.74189,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.78633,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.83078,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.88634,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.94189,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
29.98633,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
30.03078,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
30.08633,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
30.13078,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
33.17519,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
34.56406,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
35.41961,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
35.46405,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
35.55294,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
35.60849,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
35.65294,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
35.70849,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
35.75294,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
35.80849,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
35.85294,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
36.71959,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
36.76403,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
36.81959,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
36.86403,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
36.90848,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
36.95292,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
